Dataset,Subject,Time,Binding,Vaccine Scheme,Figure
2016 Tam,Mouse_13,Day7,0.172887,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_13,Day14,4.036566,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_13,Day21,2.743407,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_13,Day28,10.21125,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_13,Day35,14.39765,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_13,Day42,13.82155,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_13,Day49,16.19494,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_13,Day56,21.64638,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_13,Day63,18.25288,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_13,Day70,18.1834,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_13,Day77,21.36755,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_13,Day84,17.3132,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_13,Day125,1.511348,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_13,Day139,11.95075,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day7,0.4545,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day14,6.066622,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day21,3.314121,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day28,13.56956,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day35,13.47921,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day42,10.83519,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day49,16.78697,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day56,11.12423,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day63,10.92667,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day70,10.17964,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day77,11.21705,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day84,13.84705,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day125,8.483186,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_14,Day139,4.781693,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day7,0.21494,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day14,4.475849,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day21,3.183333,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day28,17.60916,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day35,21.59421,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day42,16.81841,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day49,17.43466,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day56,19.34612,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day63,18.15142,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day70,17.97423,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day77,30.08921,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day84,16.94679,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day125,0.892708,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_15,Day139,8.750155,Constant Prime/Bolus Boost Day 21,Fig1C-Yellow
2016 Tam,Mouse_16,Day7,0.062329,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_16,Day14,0.087066,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_16,Day21,0.139657,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_16,Day28,2.072603,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_16,Day35,8.626384,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_16,Day42,11.85694,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_16,Day49,10.32965,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_16,Day56,8.895981,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_16,Day63,9.75104,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_16,Day70,9.65058,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_16,Day77,11.37195,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_16,Day84,8.81479,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_16,Day125,5.026772,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_16,Day139,3.837612,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
